Segment ID,Direction,LBoro,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,daily_volume
2153,SB,5.0,68.6923076923077,40.61538461538461,27.923076923076923,21.615384615384617,32.53846153846154,71.6923076923077,183.23076923076923,292.7692307692308,254.30769230769232,207.0,205.15384615384616,244.46153846153845,267.2307692307692,277.7692307692308,336.38461538461536,366.6923076923077,347.6923076923077,332.3076923076923,328.2307692307692,274.15384615384613,211.15384615384616,154.0,114.3076923076923,91.15384615384616,4751.076923076923
2367,EB,5.0,66.11111111111111,44.44444444444444,24.77777777777778,20.333333333333332,30.0,60.111111111111114,138.77777777777777,207.88888888888889,252.22222222222223,254.44444444444446,274.22222222222223,309.0,326.8888888888889,330.0,332.77777777777777,343.8888888888889,352.8888888888889,368.55555555555554,319.0,259.6666666666667,204.0,149.77777777777777,92.0,72.55555555555556,4834.333333333333
2367,WB,5.0,103.55555555555556,60.55555555555556,48.22222222222222,46.333333333333336,99.33333333333333,245.33333333333334,334.77777777777777,432.0,516.1111111111111,498.0,504.44444444444446,504.6666666666667,537.8888888888889,545.3333333333334,560.1111111111111,544.1111111111111,540.4444444444445,538.0,511.55555555555554,429.3333333333333,332.77777777777777,246.66666666666666,197.66666666666666,140.55555555555554,8517.777777777777
2369,EB,5.0,62.10526315789474,44.578947368421055,30.105263157894736,26.36842105263158,49.73684210526316,136.8421052631579,218.1578947368421,306.8421052631579,365.3157894736842,310.36842105263156,303.6842105263158,318.10526315789474,342.2631578947368,348.2631578947368,366.63157894736844,395.7894736842105,391.7894736842105,384.63157894736844,354.5263157894737,316.94736842105266,225.3684210526316,149.6315789473684,103.3157894736842,75.73684210526316,5627.105263157895
2369,WB,5.0,101.44444444444444,61.333333333333336,46.111111111111114,48.111111111111114,98.66666666666667,255.22222222222223,346.77777777777777,443.6666666666667,536.1111111111111,517.8888888888889,507.8888888888889,508.8888888888889,557.4444444444445,563.5555555555555,563.1111111111111,550.5555555555555,540.2222222222222,527.6666666666666,498.1111111111111,418.1111111111111,326.44444444444446,249.11111111111111,196.44444444444446,141.22222222222223,8604.111111111111
2760,EB,5.0,30.11111111111111,16.444444444444443,8.11111111111111,7.888888888888889,9.666666666666666,22.22222222222222,55.22222222222222,181.33333333333334,140.11111111111111,109.88888888888889,131.33333333333334,143.11111111111111,149.33333333333334,160.11111111111111,210.22222222222223,188.66666666666666,179.88888888888889,183.33333333333334,175.33333333333334,150.44444444444446,114.33333333333333,76.0,53.0,45.77777777777778,2541.8888888888887
2760,WB,5.0,24.666666666666668,13.666666666666666,12.11111111111111,10.11111111111111,18.444444444444443,48.77777777777778,72.55555555555556,122.22222222222223,125.88888888888889,108.77777777777777,109.0,129.11111111111111,142.44444444444446,170.33333333333334,173.66666666666666,150.55555555555554,153.11111111111111,137.88888888888889,165.55555555555554,117.88888888888889,93.11111111111111,72.0,49.44444444444444,32.44444444444444,2253.777777777778
2930,EB,5.0,56.0,33.0,25.666666666666668,16.333333333333332,9.833333333333334,25.666666666666668,67.66666666666667,266.8333333333333,360.3333333333333,208.83333333333334,209.5,227.0,304.4,311.0,392.4,411.2,366.6,314.2,280.2,237.4,215.0,164.6,119.6,88.2,4874.6
2930,WB,5.0,54.2,35.8,25.4,18.8,15.0,22.8,79.6,439.4,454.4,198.2,202.2,199.8,210.6,209.6,299.8,251.8,284.4,328.2,283.2,258.0,193.8,161.0,118.8,77.8,4422.6
2933,EB,5.0,64.33333333333333,37.77777777777778,23.22222222222222,12.333333333333334,11.444444444444445,24.77777777777778,77.55555555555556,280.1111111111111,304.0,227.55555555555554,264.6666666666667,331.0,328.6666666666667,322.6666666666667,430.0,358.1111111111111,332.77777777777777,334.1111111111111,307.6666666666667,258.6666666666667,216.11111111111111,165.88888888888889,113.66666666666667,81.0,4908.111111111111
2933,WB,5.0,65.66666666666667,39.333333333333336,21.88888888888889,14.0,13.444444444444445,29.88888888888889,84.88888888888889,418.3333333333333,313.77777777777777,269.55555555555554,311.44444444444446,348.3333333333333,359.77777777777777,385.77777777777777,456.1111111111111,410.44444444444446,360.6666666666667,373.0,341.8888888888889,307.44444444444446,222.88888888888889,163.88888888888889,110.22222222222223,84.22222222222223,5506.888888888889
